track_id,track_name,artist_names,artist_ids,primary_artist,album_name,album_id,album_type,release_date,duration_ms,duration_min,popularity,explicit,preview_url,track_number,disc_number,release_year,track_age_days,artist_popularity,artist_followers,artist_genres,artist_genre_count,time_range,rank,range_key
0exjXziLpfBAs3QppeYUzo,Adore the Distance,Soft Blue Shimmer,5ZclZsMoBdRY9MJw6l47Fx,Soft Blue Shimmer,Heaven Inches Away,3kNVOsMavASjW9PBfltFMJ,album,2020-11-27,277191,4.61985,21,False,,9,1,2020,1733.0,30,16085,"shoegaze, dream pop",2,Last 4 weeks,29,short_term
1drLQNS9D5z9lBP4DbtO2R,Saturday Sun,Nick Drake,5c3GLXai8YOMid29ZEuR9y,Nick Drake,Five Leaves Left,7IpcJbVxLLEfW0KXB7ndE2,album,1969-07-03,245013,4.08355,53,False,,10,1,1969,20508.0,64,928646,"folk, singer-songwriter",2,Last 4 weeks,30,short_term
2GGNtsp8uJukxi2d6R3lpN,Dance Yrself Clean,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,This Is Happening,2cmf2niWqoRqmFkGoKhACK,album,2010-05-14,536106,8.9351,34,False,,1,1,2010,5583.0,64,1225494,"alternative dance, new rave",2,Last 4 weeks,31,short_term
2svPwm2iT8xXut4TIinfqu,MyLoveILove 3,Bogdan Raczynski,2bYCvT1nqpbbspU5DZG5nA,Bogdan Raczynski,MyLoveILove,5ifjWl35H9cFxw1NcIzopE,album,2001-01-01,109573,1.8262166666666666,3,False,,3,1,2001,9003.0,35,42306,"idm, breakcore, glitch",3,Last 4 weeks,32,short_term
54Biz1kZa4d9fXZdgdaHqN,Soul In A Jar,The Veldt,7hcJOolMkn9jRAAhaVSFnu,The Veldt,Afrodisiac,5ByAKbC8SjGW2HF1q4V4ZD,album,1994-02-08,288773,4.812883333333334,30,False,,3,1,1994,11522.0,24,11464,"shoegaze, dream pop, slowcore",3,Last 4 weeks,33,short_term
5bxBosfOC3upyOK9tjxZ35,Hong Kong Garden,Siouxsie and the Banshees,1n65zfwYIj5kKEtNgxUlWb,Siouxsie and the Banshees,The Scream,3uMr78kOScjc6eLHMYcVl4,album,1978-11-13,175906,2.931766666666667,54,False,,11,1,1978,17088.0,61,1317873,"gothic rock, post-punk, darkwave, new wave, deathrock",6,Last 4 weeks,34,short_term
5xDD6xL65xH0WugjRaX6E7,ドリップ・ドライ・アイズ - 2021 Yoshinori Sunahara Remastering,Yukihiro Takahashi,5Rv28BOArteQRhL8YUYgD5,Yukihiro Takahashi,ニウロマンティック～ロマン神経症～ (2021 Yoshinori Sunahara Remastering),3y3zDwE8BWfron6iRNSSiM,album,1981-05-24,331040,5.517333333333333,29,False,,6,1,1981,16165.0,36,81110,"city pop, synthpop",2,Last 4 weeks,35,short_term
6INLpBxo9F5QMer04VXEnd,Sexy Boy,Air,1P6U1dCeHxPui5pIrGmndZ,Air,Moon Safari,5dmYtZVJ1bG9RyrZBRrkOA,album,1998-01-16,298466,4.974433333333334,68,False,,2,1,1998,10084.0,68,1133179,"trip hop, downtempo",2,Last 4 weeks,36,short_term
6wuekNiL0KqFbvfdwuequN,One Of These Things First,Nick Drake,5c3GLXai8YOMid29ZEuR9y,Nick Drake,Bryter Layter,0B2E1w5T7PEbZIctZnnt9K,album,1971-03-05,289687,4.828116666666666,58,False,,4,1,1971,19898.0,64,928646,"folk, singer-songwriter",2,Last 4 weeks,37,short_term
2Jkflii57Z9xhxOOuj7Qgg,Femme,Le Couleur,0ChUTSO3tfQSVKMOpWkCJy,Le Couleur,Voyage love,4JKpAae0FsyaLDkSQpp1VF,single,2013-04-30,235904,3.9317333333333333,35,False,,2,1,2013,4501.0,31,22821,"french indie pop, french pop",2,Last 4 weeks,38,short_term
5Q9BVQOEHNMq0QGuUfZTkQ,500 (Shake Baby Shake),Lush,3ysp8GwsheDcBxP9q65lBg,Lush,Topolino,5RRR4pGwrrHinA9B2VIRty,album,1996-10-18,201266,3.354433333333333,23,False,,1,1,1996,10539.0,48,285142,"shoegaze, dream pop, britpop, slowcore",4,Last 4 weeks,39,short_term
09jl7ubg7gVhogh3QY26iQ,"Man In A Shed - 1st Sound Techniques Session, March / 1968",Nick Drake,5c3GLXai8YOMid29ZEuR9y,Nick Drake,The Making Of Five Leaves Left,6LtprtjiFOCKr242tI4TgD,album,2025-07-25,185920,3.0986666666666665,37,False,,3,1,2025,32.0,64,928646,"folk, singer-songwriter",2,Last 4 weeks,40,short_term
0Mjhm250SR1toko8vfMVAA,Костёр,Mashina Vremeni,3OCZhm9zNElyNJNrwG9pC4,Mashina Vremeni,Лучшие песни 1979-1985,3vyfskI9bHtqwDaENfI22E,album,1993-05-27,214333,3.572216666666667,35,False,,9,1,1993,11779.0,46,191739,Unknown,0,Last 4 weeks,41,short_term
0Ziohm1Ku8E2yUDYoclfhO,Angeles,Elliott Smith,2ApaG60P4r0yhBoDCGD8YG,Elliott Smith,Either/Or,5hryhrT7wEdLnZCbJX9F6L,album,1997-02-25,177200,2.953333333333333,56,False,,9,1,1997,10409.0,68,1318332,singer-songwriter,1,Last 4 weeks,42,short_term
0epAG0WWRlDMsMFJiE5c6I,Sprawl II (Mountains Beyond Mountains),Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,Arcade Fire,The Suburbs (Deluxe),0gkUcpkyW2SXN49Yktkf6F,album,2010-07-01,325706,5.428433333333333,56,False,,15,1,2010,5535.0,67,2391632,"indie rock, baroque pop",2,Last 4 weeks,43,short_term
0kzNjXP0hX34NBSIFkbwST,Soft Shock,Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,It's Blitz!,0EZNeEs8bgLH2QoqouxCcm,album,2009-01-01,233106,3.8851,47,False,,3,1,2009,6081.0,70,1461193,indie rock,1,Last 4 weeks,44,short_term
0xS4rh83LPGLM7JVHaybex,Рижская (1988),"Yanka, Великие Октябри","1oSTzZ38B2gW2M8BEgzRUP, 4ttw8fnOmC5aTcZzFJs0lZ",Yanka,Деклассированным элементам (2018 Edition) [Remastered],4CZOuycGlZJ2Ke05Re3jI3,album,2018-12-30,132840,2.214,24,False,,9,1,2018,2431.0,29,34854,"noise rock, post-punk",2,Last 4 weeks,45,short_term
163S86lw0l11Lo5dkmiLlX,"Strange Face - Rough Mix With Guide Vocal, 11th September 1968",Nick Drake,5c3GLXai8YOMid29ZEuR9y,Nick Drake,The Making Of Five Leaves Left,6LtprtjiFOCKr242tI4TgD,album,2025-07-25,264733,4.412216666666667,35,False,,7,1,2025,32.0,64,928646,"folk, singer-songwriter",2,Last 4 weeks,46,short_term
1Bq65xKgu0kjSUMUlfWyPl,Transmission - 2020 Digital Remaster,Joy Division,432R46LaYsJZV2Gmc4jUV5,Joy Division,Transmission,51BKPr5L8cGZGk9bl9Jf5L,single,1979-10-07,218440,3.6406666666666667,58,False,,1,1,1979,16760.0,65,2743020,"post-punk, new wave, gothic rock, darkwave, madchester",6,Last 4 weeks,47,short_term
1CLiklr3syN8FCCProPe95,Clint,The Snake Corps,1LgZVnk9K1iR7K54mNKnus,The Snake Corps,More Than The Ocean,1emzBAPJ2NmHgo9FTO6a5M,album,1990-01-01,206973,3.44955,22,False,,5,1,1990,13021.0,34,11566,"post-punk, gothic rock, deathrock, darkwave, cold wave",7,Last 4 weeks,48,short_term
1Ccfb1xzwLDjQHLfAa2TxQ,Strange Powers,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,The Magnetic Fields,Holiday,2wBQbthVmSbVkEwP7jmv3o,album,1999-01-12,161613,2.69355,50,False,,4,1,1999,9723.0,55,262005,anti-folk,1,Last 4 weeks,49,short_term
1O80n2ImP4UxVEIAgK5xXa,Wow And Flutter,Stereolab,3Rj0tDHoX7C5NFq5DKIpHt,Stereolab,Mars Audiac Quintet,2ArWDqemFcbVrLxOTZheZr,album,1994-08-08,188933,3.1488833333333335,5,False,,2,1,1994,11341.0,55,388448,"art pop, krautrock, post-rock, neo-psychedelic",4,Last 4 weeks,50,short_term
5FQ9NDyx3KZXhovWWq4Gxo,Should've Been Me,Mitski,2uYWxilOVlUdk4oV9DvwqK,Mitski,Laurel Hell,4rcinMUHEWOxpIwJo2sf22,album,2022-02-04,191774,3.1962333333333333,61,False,,9,1,2022,1299.0,82,10793009,Unknown,0,Last 6 months,1,medium_term
4GpN14TnR5kMxwh25bAqXV,Что такое осень,ДДТ,0YCqg8X5gx0MremW64Ud1h,ДДТ,Актриса Весна,48zxuM36lQcoItT6XkOEs2,album,1992-11-01,297706,4.961766666666667,48,False,,7,1,1992,11986.0,48,437470,Unknown,0,Last 6 months,2,medium_term
43zr9kKkeiQrshvYuvNtfM,Someone To Call My Lover,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,All For You,0IfJey7ibEDtWNxAQw2ub9,album,2001-01-01,272360,4.539333333333333,72,False,,16,1,2001,9003.0,69,4076221,new jack swing,1,Last 6 months,3,medium_term
3H6xZgwRZx8McVUJzmMxWe,Headphones On,Addison Rae,4gvjmrtzydbMpyJaXUtwvP,Addison Rae,Addison,2ffVa2UhHUDwMHnr685zJ4,album,2025-06-06,240308,4.005133333333333,72,False,,12,1,2025,81.0,79,1195786,Unknown,0,Last 6 months,4,medium_term
4XUNnKwmsWqxLjns9I4Ho6,Просвистела,ДДТ,0YCqg8X5gx0MremW64Ud1h,ДДТ,Просвистела,7gWxLTTTHJIOCd4arzOdK7,album,1999-11-29,222000,3.7,47,False,,1,1,1999,9402.0,48,437470,Unknown,0,Last 6 months,5,medium_term
4izZoKL2bYp3Edh0u34uI1,Миллион алых роз,Alla Pugacheva,7lyhSLlB5fWJmU5eB6k84L,Alla Pugacheva,Миллион роз,3v6ivHYrtsaYhGWVkRp0p8,album,1983-01-01,353733,5.89555,49,False,,1,1,1983,15578.0,50,115559,Unknown,0,Last 6 months,6,medium_term
1q7Ie8Tgphv4iBwUlr5B9j,Любимка,NILETTO,7wHvox8DtmBBPpDFRVURv4,NILETTO,Любимка,6P7UigmkZOBVaB2Y1GrOJt,single,2019-05-03,219692,3.6615333333333333,52,False,,1,1,2019,2307.0,58,325179,Unknown,0,Last 6 months,7,medium_term
2E604JVtTcnXK19gDRBaOk,I Have A Woman Inside My Soul,Yoko Ono,2s4tjL6W3qrblOe0raIzwJ,Yoko Ono,Approximately Infinite Universe,565RYqjiJeHF8zqLHZAfan,album,2017-08-02,333520,5.558666666666666,3,False,,18,1,2017,2946.0,52,152813,christmas,1,Last 6 months,8,medium_term
3kDO0ttXrVCWbKCS3sQeC1,Aquamarine,Addison Rae,4gvjmrtzydbMpyJaXUtwvP,Addison Rae,Addison,2ffVa2UhHUDwMHnr685zJ4,album,2025-06-06,162814,2.7135666666666665,72,False,,4,1,2025,81.0,79,1195786,Unknown,0,Last 6 months,9,medium_term
3eYBRguiDE5BrGhCTRqZrH,Juicy Sandwich,The Veldt,7hcJOolMkn9jRAAhaVSFnu,The Veldt,Afrodisiac,5ByAKbC8SjGW2HF1q4V4ZD,album,1994-02-08,268560,4.476,15,False,,7,1,1994,11522.0,24,11464,"shoegaze, dream pop, slowcore",3,Last 6 months,10,medium_term
46UkjegvgJV87vsCyYWvQp,Beni Sen İnandır,Pinhani,4Bdqzh78prwuqwInMb555P,Pinhani,Kediköy,3JZ934LF60UGYSx5dwgJxR,album,2016-01-08,224716,3.7452666666666667,59,False,,5,1,2016,3518.0,62,2382070,turkish pop,1,Last 6 months,11,medium_term
7lpa4JaGvGlCgAT29WjdqL,Somebody's Daughter,Tasmin Archer,6EgtYGZoF5jLydCpz43xu1,Tasmin Archer,Great Expectations,4W5bJ5C6XGKEGWQNvhsSSY,album,1992-10-19,255786,4.2631,35,False,,8,1,1992,11999.0,52,33831,Unknown,0,Last 6 months,12,medium_term
7Epjhq046YB3Sjjtz9nx0J,Fountain Of Sorrow,Joan Baez,1EevBGfUh3RSQSGpluxgBm,Joan Baez,Diamonds & Rust,3O9LYeSXXEypjdptHMghUg,album,1975-04-01,270333,4.50555,41,False,,2,1,1975,18410.0,61,815464,"folk, folk rock, singer-songwriter",3,Last 6 months,13,medium_term
4leV8mj11mYE7isbe0D2HE,When You're Gone,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,To The Faithful Departed,3QkSnuKOjKG8u5A2iRxckz,album,1996-01-01,294626,4.910433333333334,47,False,,3,1,1996,10830.0,79,5242407,Unknown,0,Last 6 months,14,medium_term
2K4eUmf1bzOdFrYZpEfW0T,Stuck Inside a Cloud,George Harrison,7FIoB5PHdrMZVC3q2HE5MS,George Harrison,Brainwashed,38xW9kksFyiS5sc0tU082f,album,2002-11-19,244826,4.080433333333334,37,False,,7,1,2002,8316.0,71,3024949,Unknown,0,Last 6 months,15,medium_term
1x3S3LYn5wqKHPzfUiqsj1,Go Deep,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Janet Jackson,The Velvet Rope,1uFp52Q9EXLNA6DTRYnpTj,album,1997-10-07,282026,4.700433333333334,49,False,,8,1,1997,10185.0,69,4076221,new jack swing,1,Last 6 months,16,medium_term
2od6VwQ93pD6vfYss3oync,Genius,Ravyn Lenae,5RTLRtXjbXI2lSXc6jxlAz,Ravyn Lenae,Bird's Eye,1uE3dRPe3SrGdNhd1nWlSa,album,2024-08-09,155563,2.5927166666666666,67,False,,1,1,2024,382.0,81,754303,"alternative r&b, indie soul",2,Last 6 months,17,medium_term
3WSyYBhLZRLbQo2tJgFvSR,Sleeping Satellite,Tasmin Archer,6EgtYGZoF5jLydCpz43xu1,Tasmin Archer,Great Expectations,4W5bJ5C6XGKEGWQNvhsSSY,album,1992-10-19,281853,4.69755,67,False,,1,1,1992,11999.0,52,33831,Unknown,0,Last 6 months,18,medium_term
6qI0MU175Dk2DeoUjlrOpy,911,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,Chromatica,05c49JgPmL4Uz2ZeqRx5SP,album,2020-05-29,172133,2.8688833333333332,64,False,,8,1,2020,1915.0,92,40669212,"art pop, pop",2,Last 6 months,19,medium_term
3UDqYP3Sa9phBFAATXOixA,In The Rain,Addison Rae,4gvjmrtzydbMpyJaXUtwvP,Addison Rae,Addison,2ffVa2UhHUDwMHnr685zJ4,album,2025-06-06,213960,3.566,67,False,,8,1,2025,81.0,79,1195786,Unknown,0,Last 6 months,20,medium_term
2LHNTC9QZxsL3nWpt8iaSR,Abracadabra,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,MAYHEM,2MHUaRi9OCyTN02SoyRRBJ,album,2025-03-07,223398,3.7233,82,False,,2,1,2025,172.0,92,40669212,"art pop, pop",2,Last 6 months,21,medium_term
6PsqixVNSE6N4WamoMFISK,Alaska,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,Pinegrove,11:11,6sOmBkyGWJpzR04C7U7BZE,album,2022-01-28,125830,2.097166666666667,48,False,,2,1,2022,1306.0,66,516575,midwest emo,1,Last 6 months,22,medium_term
5hR0wTnydz6lmErOV4c0sp,Losing You,Solange,2auiVi8sUZo17dLy1HwrTU,Solange,Losing You,6VCjvboIlNJ3N881Xja6ng,single,2012-10-02,260398,4.339966666666666,66,False,,1,1,2012,4711.0,63,2158394,"alternative r&b, neo soul",2,Last 6 months,23,medium_term
0h5jFEsJWx3OPXXgFWhGQY,В последнюю осень,ДДТ,0YCqg8X5gx0MremW64Ud1h,ДДТ,Актриса Весна,48zxuM36lQcoItT6XkOEs2,album,1992-11-01,285026,4.7504333333333335,45,False,,2,1,1992,11986.0,48,437470,Unknown,0,Last 6 months,24,medium_term
4hckTii6dURNqlfS9JNjjK,In the End,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,In the End,4cfq0YAgWhhIqTkVkYyvbC,album,2019-04-26,176880,2.948,47,False,,11,1,2019,2314.0,79,5242407,Unknown,0,Last 6 months,25,medium_term
7hGCCQkdyF1MX6uk339uBS,What Was That,Lorde,163tK9Wjr9P9DmM0AVK7lm,Lorde,Virgin,28bHj2enHkHVFLwuWmkwlQ,album,2025-06-27,209286,3.4881,79,False,,2,1,2025,60.0,85,10458561,Unknown,0,Last 6 months,26,medium_term
28TL0QXUxuTGWOzFMBjE7P,"Musician, Please Take Heed",God Help The Girl,4zTWoo52TNONUpCUJPi99f,God Help The Girl,God Help The Girl,29XJz3T9fSbr902fGQ7JKu,album,2009-06-22,236320,3.9386666666666668,23,False,,8,1,2009,5909.0,30,40533,Unknown,0,Last 6 months,27,medium_term
6RMOZruWKO7gt7rd2K438m,Suspended In Gaffa - 2018 Remaster,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,The Dreaming (2018 Remaster),2cRwYvvGigsHqk63ZGfuI2,album,1982-09-13,234546,3.9091,49,False,,4,1,1982,15688.0,73,2453605,"art pop, baroque pop, art rock",3,Last 6 months,28,medium_term
0S9AYGXX4c7Oieyqg0oPuq,Родина,ДДТ,0YCqg8X5gx0MremW64Ud1h,ДДТ,Актриса Весна,48zxuM36lQcoItT6XkOEs2,album,1992-11-01,277666,4.627766666666667,44,False,,4,1,1992,11986.0,48,437470,Unknown,0,Last 6 months,29,medium_term
3J58Ccc5iTbCRnYx2xjo6d,Animal Instinct,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9,The Cranberries,Bury The Hatchet,2v9PjvIkQVnyQdtD1iQD7e,album,1999-04-19,211066,3.5177666666666667,65,False,,1,1,1999,9626.0,79,5242407,Unknown,0,Last 6 months,30,medium_term
7wcLPuCbIACdIjNhkg5GIo,Лето,AloeVera,50QfhXI1069kvJI5RPBLM3,AloeVera,Алимоно,02VJQ6NihfpMeD7sVJ8n2s,album,2018-10-31,244461,4.07435,29,False,,1,1,2018,2491.0,38,36771,Unknown,0,Last 6 months,31,medium_term
