artist_id,artist_name,genres,genre_count,popularity,followers,time_range,rank,range_key
5UqTO8smerMvxHYA5xsXb6,Sonic Youth,"noise rock, grunge, alternative rock, post-punk, shoegaze",5,59,1295575,Last 6 months,46,medium_term
1EevBGfUh3RSQSGpluxgBm,Joan Baez,"folk, folk rock, singer-songwriter",3,61,815464,Last 6 months,47,medium_term
2PfBzriIMRsCXPDtSy9vg8,Rufus Wainwright,singer-songwriter,1,56,358996,Last 6 months,48,medium_term
2s4tjL6W3qrblOe0raIzwJ,Yoko Ono,christmas,1,52,152813,Last 6 months,49,medium_term
4SQdUpG4f7UbkJG3cJ2Iyj,Arca,"neoperreo, experimental, art pop, hyperpop",4,61,638009,Last 6 months,50,medium_term
2ApaG60P4r0yhBoDCGD8YG,Elliott Smith,singer-songwriter,1,68,1318332,All time,1,long_term
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,"hip hop, west coast hip hop",2,94,43415184,All time,2,long_term
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,Unknown,0,92,50100739,All time,3,long_term
5hAhrnb0Ch4ODwWu4tsbpi,Yo La Tengo,"dream pop, slowcore",2,54,555369,All time,4,long_term
4Z8W4fKeB5YxbusRsdQVPb,Radiohead,"art rock, alternative rock",2,89,13155048,All time,5,long_term
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,rap,1,93,30595505,All time,6,long_term
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,rap,1,94,40242172,All time,7,long_term
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,Unknown,0,97,109860171,All time,8,long_term
5NtMqQLCzdVvL7F8vFp3zM,Sweet Trip,"shoegaze, dream pop, idm",3,50,203012,All time,9,long_term
4tuJ0bMpJh08umKkEXKUI5,Gracie Abrams,Unknown,0,87,6772544,All time,10,long_term
5QdyldG4Fl4TPiOIeMNpBZ,Big Thief,Unknown,0,72,1261045,All time,11,long_term
08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,"classic rock, yacht rock, soft rock",3,87,13640460,All time,12,long_term
3l0CmX0FuQjFxr8SK7Vqag,Clairo,bedroom pop,1,82,6403913,All time,13,long_term
6nB0iY1cjSY1KyhYyuIIKH,FKA twigs,"art pop, alternative r&b",2,67,1424412,All time,14,long_term
47zz7sob9NUcODy0BTDvKx,Sade,Unknown,0,80,4942834,All time,15,long_term
5c3GLXai8YOMid29ZEuR9y,Nick Drake,"folk, singer-songwriter",2,64,928646,All time,16,long_term
2gbT6GPXMis0OAkZbEQCYB,Pinegrove,midwest emo,1,66,516575,All time,17,long_term
1GmsPCcpKgF9OhlNXjOsbS,Lizzy McAlpine,Unknown,0,77,1457500,All time,18,long_term
7K3zpFXBvPcvzhj7zlGJdO,Crystal Castles,"witch house, electroclash, new rave, alternative dance",4,72,3203860,All time,19,long_term
56ZTgzPBDge0OvCGgMO3OY,Beach House,dream pop,1,75,2727759,All time,20,long_term
6wxfx1yhyqjCPYwwxJktR2,King Gnu,"j-pop, anime, j-rock",3,71,3997929,All time,21,long_term
163tK9Wjr9P9DmM0AVK7lm,Lorde,Unknown,0,85,10458561,All time,22,long_term
3TVXtAsR1Inumwj472S9r4,Drake,rap,1,99,101063304,All time,23,long_term
57vWImR43h4CaDao012Ofp,Steve Lacy,Unknown,0,81,6229185,All time,24,long_term
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,Unknown,0,85,21083666,All time,25,long_term
4KEHIUSoWCcqrk8AddTE1O,Panchiko,shoegaze,1,65,519777,All time,26,long_term
5jTtGLk1mGFMY5lQOvJYUj,bôa,Unknown,0,72,1142589,All time,27,long_term
7tYKF4w9nC0nq9CsPZTHyP,SZA,r&b,1,92,31936615,All time,28,long_term
0Y6dVaC9DZtPNH4591M42W,TV Girl,Unknown,0,83,11908257,All time,29,long_term
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,Unknown,0,88,11396058,All time,30,long_term
2RP4pPHTXlQpDnO9LvR7Yt,Lianne La Havas,"alternative r&b, soul, pop soul",3,57,978657,All time,31,long_term
7d0wUlQ0ZXIGFa0YzuBiR6,Tanukichan,"shoegaze, dream pop",2,45,88785,All time,32,long_term
6yJ6QQ3Y5l0s0tn7b0arrO,JPEGMAFIA,"experimental hip hop, alternative hip hop, experimental",3,67,1011355,All time,33,long_term
72X6FHxaShda0XeQw3vbeF,Slowdive,"shoegaze, dream pop, slowcore",3,67,1327322,All time,34,long_term
5hW4L92KnC6dX9t7tYM4Ve,Joni Mitchell,"folk, singer-songwriter, folk rock",3,64,1620297,All time,35,long_term
7B2edU3Q7btJoNsoHCNohM,Laura Marling,"singer-songwriter, southern gothic, folk, indie folk",4,55,532953,All time,36,long_term
6fC2AcsQtd9h4BWELbbire,Peach Pit,Unknown,0,64,878343,All time,37,long_term
0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,Unknown,0,82,7597718,All time,38,long_term
09Wl9YiRr5l1rChWktQD4o,NoSo,Unknown,0,41,38946,All time,39,long_term
3ysp8GwsheDcBxP9q65lBg,Lush,"shoegaze, dream pop, britpop, slowcore",4,48,285142,All time,40,long_term
0YCqg8X5gx0MremW64Ud1h,ДДТ,Unknown,0,48,437470,All time,41,long_term
2QoU3awHVdcHS8LrZEKvSM,Wilco,"alt country, americana, indie rock",3,63,815070,All time,42,long_term
0AiTwNtYX8m4uhfU7rJ8RD,Ani DiFranco,"anti-folk, singer-songwriter",2,48,264818,All time,43,long_term
1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,"art pop, baroque pop, art rock",3,73,2453605,All time,44,long_term
3nnQpaTvKb5jCQabZefACI,Jeff Buckley,Unknown,0,76,2139776,All time,45,long_term
3g2kUQ6tHLLbmkV7T4GPtL,Fiona Apple,art pop,1,66,1766216,All time,46,long_term
2KEqzdPS7M5YwGmiuPTdr5,Rina Sawayama,Unknown,0,58,1042455,All time,47,long_term
1tcgfoMTT1szjUeaikxRjA,Ryuichi Sakamoto,"japanese classical, ambient, drone",3,64,1100620,All time,48,long_term
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,rap,1,86,26784410,All time,49,long_term
12trz2INGglrKMzLmg0y2C,Emotional Oranges,indie r&b,1,62,377161,All time,50,long_term
